RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,2,Joe Durant,85,73.27,1121,1530,-0.23
2,1,Vijay Singh,112,73.03,1446,1980,-0.31
3,3,Tom Lehman,70,71.38,848,1188,-0.27
4,4,Sergio Garcia,65,70.83,816,1152,-0.25
5,5,Briny Baird,100,70.62,1233,1746,-0.26
6,6,John Senden,99,70.54,1219,1728,-0.26
7,7,Chris Smith,105,70.37,1330,1890,-0.25
8,8,Robert Allenby,93,70.33,1114,1584,-0.24
9,9,Duffy Waldorf,79,69.94,919,1314,-0.27
10,10,Phil Mickelson,83,69.55,989,1422,-0.29
11,11,Luke Donald,72,69.37,899,1296,-0.23
12,12,Olin Browne,92,68.94,1092,1584,-0.25
13,13,Bart Bryant,73,68.92,856,1242,-0.25
14,14,Mark Wilson,62,68.91,769,1116,-0.24
15,15,Jeff Sluman,98,68.79,1201,1746,-0.25
16,T16,John Huston,62,68.75,693,1008,-0.23
17,27,Retief Goosen,56,68.69,680,990,-0.31
18,T16,Kenny Perry,79,68.64,939,1368,-0.27
19,18,Scott Hoch,52,68.63,630,918,-0.24
20,22,Scott Verplank,92,68.5,1122,1638,-0.29
21,25,David Toms,80,68.47,912,1332,-0.27
22,21,Carlos Franco,99,68.46,1220,1782,-0.25
23,20,Vaughn Taylor,84,68.43,1010,1476,-0.29
24,19,Stephen Ames,97,68.42,1170,1710,-0.29
25,23,Woody Austin,94,68.14,1153,1692,-0.27
26,24,Danny Briggs,85,68.11,993,1458,-0.24
27,26,Roland Thatcher,66,68.01,808,1188,-0.23
28,36,Jerry Kelly,113,67.99,1334,1962,-0.27
29,34,Zach Johnson,109,67.86,1307,1926,-0.27
30,28,Lee Janzen,84,67.82,1001,1476,-0.25
31,29,Chad Campbell,100,67.74,1134,1674,-0.24
32,30,Bo Van Pelt,107,67.68,1267,1872,-0.28
33,31,Justin Rose,77,67.67,877,1296,-0.27
T34,T32,Craig Barlow,80,67.66,950,1404,-0.27
T34,T32,Kirk Triplett,88,67.66,1023,1512,-0.28
36,35,Joey Sindelar,100,67.63,1193,1764,-0.24
37,37,Jeff Maggert,60,67.5,729,1080,-0.25
38,38,Lucas Glover,95,67.46,1105,1638,-0.27
39,39,Kent Jones,99,67.41,1177,1746,-0.27
40,40,Ted Purdy,114,67.36,1358,2016,-0.28
41,42,Heath Slocum,92,67.1,1087,1620,-0.24
42,43,John Riegger,53,67.09,640,954,-0.26
43,41,Chris DiMarco,105,67.06,1183,1764,-0.27
44,44,Arron Oberholser,77,67.05,881,1314,-0.26
45,45,Cameron Beckman,99,67.01,1158,1728,-0.27
46,46,Shaun Micheel,93,66.97,1097,1638,-0.24
47,53,Jay Haas,84,66.95,952,1422,-0.27
48,58,Tiger Woods,78,66.9,867,1296,-0.34
49,47,Geoff Ogilvy,91,66.86,1047,1566,-0.32
T50,T48,Jason Bohn,98,66.84,1143,1710,-0.29
T50,T48,Tom Pernice Jr.,103,66.84,1191,1782,-0.26
52,50,Steve Allan,102,66.78,1190,1782,-0.26
