RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
47,T53,Jerry Kelly,85,0.257,17.496,68
48,,Retief Goosen,50,0.244,9.749,40
49,41,Scott Piercy,78,0.242,15.24,63
T50,40,Ben Curtis,66,0.239,14.82,62
T50,50,Anthony Kim,72,0.239,13.848,58
52,51,Padraig Harrington,60,0.237,10.685,45
53,52,Lucas Glover,74,0.236,14.407,61
54,T53,Mark Wilson,89,0.233,16.288,70
55,59,D.A. Points,89,0.227,16.766,74
56,T75,David Hearn,88,0.223,16.952,76
57,56,Jimmy Walker,79,0.222,16.859,76
58,57,Pat Perez,76,0.221,15.47,70
59,73,Marc Turnesa,54,0.219,10.079,46
60,45,David Mathis,83,0.215,15.023,70
61,55,Martin Piller,63,0.208,10.84,52
62,58,Cameron Tringale,110,0.197,19.129,97
63,61,Roland Thatcher,67,0.194,11.862,61
64,63,William McGirt,103,0.185,17.03,92
65,64,Tim Petrovic,88,0.177,13.623,77
66,67,Lee Janzen,62,0.17,8.521,50
67,68,Stewart Cink,72,0.169,8.797,52
68,74,Joe Ogilvie,75,0.167,10.16,61
69,69,Bill Haas,93,0.165,11.846,72
70,70,K.J. Choi,77,0.163,9.462,58
T71,81,Steven Bowditch,86,0.161,12.58,78
T71,72,Martin Laird,77,0.161,9.959,62
73,65,Jeff Overton,92,0.154,11.22,73
74,71,Vaughn Taylor,89,0.153,12.699,83
75,T75,Jim Renner,65,0.149,7.912,53
76,62,Tim Herron,85,0.148,11.431,77
77,60,Shane Bertsch,62,0.146,7.603,52
78,84,Andres Gonzales,60,0.143,6.569,46
T79,103,Kevin Kisner,70,0.139,7.897,57
T79,66,J.J. Henry,96,0.139,10.963,79
81,85,Shaun Micheel,77,0.138,8.991,65
82,78,Ben Crane,76,0.134,8.282,62
83,79,Graeme McDowell,50,0.132,4.874,37
84,86,Rod Pampling,72,0.13,7.805,60
85,80,Richard Johnson,64,0.117,6.31,54
86,82,Jonathan Byrd,83,0.116,8.318,72
87,87,Tommy Gainey,104,0.112,10.192,91
88,83,Nathan Green,81,0.108,7.525,70
89,77,Aron Price,58,0.094,4.591,49
90,90,Steve Marino,76,0.089,5.529,62
91,88,Matt Bettencourt,84,0.079,6.094,77
92,101,Briny Baird,60,0.078,3.817,49
T93,93,Robert Karlsson,61,0.066,2.954,45
T93,91,Tag Ridings,87,0.066,4.847,74
95,89,John Merrick,71,0.058,3.465,60
96,95,Charl Schwartzel,58,0.052,2.092,40
97,97,Justin Rose,79,0.047,2.977,63
98,94,Arjun Atwal,91,0.044,3.672,83
99,96,Spencer Levin,113,0.04,3.736,94
100,98,Woody Austin,59,0.037,1.863,50
101,107,Bio Kim,71,0.033,1.889,58
102,92,Kent Jones,76,0.028,1.854,67
103,T105,J.P. Hayes,56,0.024,1.168,48
104,100,Stephen Ames,69,0.012,0.697,60
105,104,Keegan Bradley,91,0.007,0.528,77
106,99,Bill Lunde,92,0.003,0.239,77
107,102,Matt Jones,71,0.002,0.099,64
108,T105,Alexandre Rocha,65,-0.001,-0.026,49
109,112,Brandt Jobe,100,-0.015,-1.238,81
110,113,George McNeill,69,-0.018,-1.067,58
111,108,Billy Horschel,75,-0.024,-1.48,62
112,120,James Driscoll,71,-0.025,-1.527,61
113,109,Garrett Willis,71,-0.031,-1.998,64
114,111,Brian Davis,105,-0.035,-3.242,92
115,110,Sung Kang,63,-0.042,-2.117,51
116,118,Ryan Palmer,82,-0.047,-2.812,60
117,T125,Nick O'Hern,89,-0.056,-4.241,76
118,115,Brendan Steele,89,-0.06,-4.624,77
119,116,J.B. Holmes,57,-0.064,-3.025,47
120,132,Jason Bohn,74,-0.069,-4.592,67
121,119,Chez Reavie,92,-0.077,-6.332,82
122,121,Josh Teater,104,-0.089,-8.21,92
123,114,Michael Connell,76,-0.097,-6.998,72
124,123,Marc Leishman,87,-0.099,-7.943,80
125,129,John Rollins,85,-0.101,-7.297,72
126,117,Justin Leonard,82,-0.11,-8.148,74
127,T125,Cameron Beckman,71,-0.112,-7.141,64
T128,127,Jason Dufner,78,-0.116,-7.542,65
T128,130,Gary Woodland,93,-0.116,-8.139,70
130,122,Fabián Gómez,84,-0.117,-8.103,69
131,128,Sergio Garcia,61,-0.119,-5.361,45
132,131,Vijay Singh,79,-0.131,-9.414,72
133,T141,Chris DiMarco,93,-0.145,-11.876,82
134,134,Troy Matteson,91,-0.15,-12.127,81
135,124,Scott Stallings,84,-0.154,-10.651,69
136,133,Chris Stroud,88,-0.155,-12.11,78
137,146,Ryuji Imada,83,-0.157,-11.936,76
138,136,Jim Furyk,87,-0.16,-11.231,70
139,135,Jarrod Lyle,83,-0.163,-11.737,72
140,137,Bo Van Pelt,92,-0.167,-11.849,71
141,138,Robert Allenby,84,-0.173,-12.114,70
142,139,Bubba Watson,85,-0.182,-10.735,59
143,140,Stuart Appleby,65,-0.184,-11.048,60
144,T141,Phil Mickelson,79,-0.19,-11.042,58
145,143,Camilo Villegas,69,-0.194,-11.053,57
146,152,Michael Bradley,74,-0.196,-11.54,59
147,144,Chris Kirk,87,-0.202,-15.58,77
148,153,Billy Mayfair,94,-0.237,-20.104,85
149,145,D.J. Brigman,67,-0.245,-13.469,55
150,147,Adam Scott,60,-0.247,-11.119,45
151,148,Sean O'Hair,71,-0.253,-15.165,60
152,150,Charley Hoffman,93,-0.256,-18.964,74
T153,156,Chris Riley,76,-0.292,-19.826,68
T153,149,Daniel Summerhays,75,-0.292,-19.299,66
155,157,Jhonattan Vegas,84,-0.315,-22.038,70
156,151,Davis Love III,70,-0.318,-16.557,52
157,163,Derek Lamely,65,-0.321,-18.634,58
158,155,Troy Merritt,63,-0.334,-19.02,57
159,154,Jim Herman,69,-0.344,-19.628,57
160,158,David Duval,67,-0.364,-21.113,58
161,159,Chad Campbell,99,-0.368,-32.002,87
162,160,Robert Garrigus,83,-0.384,-26.499,69
163,161,Harrison Frazar,58,-0.386,-16.218,42
164,164,Rory Sabbatini,85,-0.403,-24.597,61
165,T165,Kevin Stadler,88,-0.426,-31.076,73
166,T165,Tom Gillis,55,-0.436,-21.808,50
167,169,Kris Blanks,92,-0.44,-36.524,83
168,162,Bobby Gates,82,-0.452,-30.298,67
169,168,Ricky Barnes,78,-0.48,-30.734,64
170,167,Zack Miller,86,-0.483,-36.247,75
171,176,Heath Slocum,89,-0.493,-36.491,74
172,175,Kevin Chappell,78,-0.501,-30.551,61
173,170,Kyle Stanley,98,-0.506,-40.47,80
174,174,Dustin Johnson,72,-0.549,-29.63,54
175,178,Joseph Bramlett,73,-0.581,-35.456,61
176,173,Alex Prugh,82,-0.582,-41.352,71
177,171,Rich Beem,53,-0.592,-27.246,46
178,180,Rocco Mediate,53,-0.621,-29.817,48
179,179,Paul Goydos,81,-0.628,-46.486,74
180,T182,Scott Gutschewski,67,-0.638,-35.071,55
181,181,Alex Cejka,59,-0.665,-31.253,47
182,T182,Ernie Els,71,-0.705,-41.606,59
183,184,D.J. Trahan,91,-0.815,-67.666,83
184,185,Joe Durant,71,-0.861,-55.134,64
185,186,Justin Hicks,60,-0.955,-42.016,44
186,187,Boo Weekley,66,-1.1,-62.721,57
