RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,1,Luke Donald,73,68.861,4643,- 29.300,67
2,2,Webb Simpson,98,69.252,6778,8.689,98
3,3,Steve Stricker,70,69.362,4784,1.974,69
4,4,Matt Kuchar,94,69.515,6125,- 7.711,88
5,5,Nick Watney,80,69.518,5357,- 4.095,77
6,6,Sergio Garcia,61,69.564,4284,- 40.579,61
7,8,Charl Schwartzel,58,69.619,3948,- 49.323,56
8,7,Charles Howell III,108,69.66,7544,- 20.712,108
T9,T9,David Toms,78,69.706,5425,12.077,78
T9,T9,Jason Day,76,69.706,5100,- 11.471,73
11,11,Spencer Levin,113,69.851,7910,- 16.812,113
12,12,Freddie Jacobson,92,69.854,6455,- 28.423,92
13,14,Brandt Snedeker,85,69.859,5945,- 7.026,85
14,15,Adam Scott,60,69.872,4144,- 21.542,59
15,13,Gary Woodland,93,69.875,6520,- 21.654,93
16,16,Phil Mickelson,79,69.891,5406,- 24.411,77
17,17,Hunter Mahan,92,69.905,6228,- 6.485,89
18,18,Zach Johnson,79,69.966,5466,- 8.689,78
19,19,K.J. Choi,77,69.993,5289,- 39.494,75
20,20,Rickie Fowler,84,70.007,5711,- 40.412,81
21,21,Bo Van Pelt,92,70.092,6327,- 18.751,90
22,23,Bill Haas,93,70.135,6450,2.414,92
23,26,Geoff Ogilvy,69,70.164,4655,- 24.180,66
24,25,John Senden,94,70.199,6606,- 7.336,94
25,27,Jason Dufner,78,70.2,5488,- 12.372,78
26,28,Robert Karlsson,61,70.211,4168,- 25.540,59
27,22,Brian Gay,90,70.214,6329,- 9.782,90
28,29,Aaron Baddeley,77,70.23,5407,.748,77
29,24,Jerry Kelly,85,70.241,5970,.448,85
30,31,Keegan Bradley,91,70.257,6427,- 33.642,91
31,32,Chad Campbell,99,70.273,6970,- 12.989,99
32,33,Y.E. Yang,63,70.277,4177,- 30.650,59
